lon;lat;var1
145.5;58.5;-0.15156105419221072
146.5;20.5;-0.1520163024984563
146.5;21.5;-0.17256758159974242
146.5;22.5;-0.22435390647955272
146.5;23.5;-0.3483757796445857
146.5;24.5;-0.4809028852688724
146.5;25.5;-0.5663240586364829
146.5;26.5;-0.6635872034241418
146.5;27.5;-0.7378899960967495
146.5;28.5;-0.769114045697613
146.5;29.5;-0.7734638916249861
146.5;30.5;-0.8072099234075163
146.5;31.5;-0.8382069015225175
146.5;32.5;-0.7958506254013311
146.5;33.5;-0.7940331091116222
146.5;34.5;-0.8922065300647075
146.5;35.5;-1.0930817146061527
146.5;36.5;-1.2458540858509306
146.5;37.5;-1.2577508370685695
146.5;38.5;-1.2256098739475347
146.5;39.5;-1.165474738526822
146.5;40.5;-1.070873903620677
146.5;41.5;-0.910398985384528
146.5;42.5;-0.8315688136744082
146.5;43.5;-0.7171396980113183
146.5;44.5;-0.5617071946453538
146.5;45.5;-0.4741142451823118
146.5;46.5;-0.45677276500919883
146.5;47.5;-0.46403231909026127
146.5;48.5;-0.4664805955072431
146.5;49.5;-0.42959328990662293
146.5;50.5;-0.3302670303584479
146.5;51.5;-0.2282596182766872
146.5;52.5;-0.1823374079816788
146.5;53.5;-0.20957076292402183
146.5;54.5;-0.24807680994573364
146.5;55.5;-0.2801324182570114
146.5;56.5;-0.3162949338706234
146.5;57.5;-0.2913757431379292
146.5;58.5;-0.20371305575639923
147.5;20.5;-0.14526707649729093
147.5;21.5;-0.1651294006651852
147.5;22.5;-0.2226935342493515
147.5;23.5;-0.3583610654344091
147.5;24.5;-0.4984811819518956
147.5;25.5;-0.5991070671554451
147.5;26.5;-0.6844457326147184
147.5;27.5;-0.7527912667706161
147.5;28.5;-0.8006370724299003
147.5;29.5;-0.8046833038063654
147.5;30.5;-0.8402379725155258
147.5;31.5;-0.8933332491861712
147.5;32.5;-0.8508403417170437
147.5;33.5;-0.7924918766137812
147.5;34.5;-0.8834818325348768
147.5;35.5;-1.0937034415634832
147.5;36.5;-1.2505140905123209
147.5;37.5;-1.261692503190841
147.5;38.5;-1.191156089299215
147.5;39.5;-1.1271010683047098
147.5;40.5;-1.0551814957241372
147.5;41.5;-0.9110677841199596
147.5;42.5;-0.835880728042435
147.5;43.5;-0.6926962497453136
147.5;44.5;-0.5380819205219473
147.5;45.5;-0.4593040691688743
147.5;46.5;-0.4697892471393222
147.5;47.5;-0.4646121686027201
147.5;48.5;-0.4532024593630124
147.5;49.5;-0.4026977611526004
147.5;50.5;-0.3203853761703849
147.5;51.5;-0.2077791670134572
147.5;52.5;-0.15177558486761977
147.5;53.5;-0.16772641325968046
147.5;54.5;-0.1870377899425793
147.5;55.5;-0.26115831619272284
147.5;56.5;-0.30140001732786353
147.5;57.5;-0.29557585041033213
147.5;58.5;-0.2469192585701003
148.5;20.5;-0.13264918642622378
148.5;21.5;-0.15904127616749864
148.5;22.5;-0.24339988349152736
148.5;23.5;-0.37620471386674165
148.5;24.5;-0.506751837067062
148.5;25.5;-0.6094717849033218
148.5;26.5;-0.6973856164040095
148.5;27.5;-0.7871173806577133
148.5;28.5;-0.8293105892925852
148.5;29.5;-0.8484928966845752
148.5;30.5;-0.8880366309841676
148.5;31.5;-0.9397509663987061
148.5;32.5;-0.8773653719356187
148.5;33.5;-0.8065639871435647
148.5;34.5;-0.8668248796501515
148.5;35.5;-1.0543779984753252
148.5;36.5;-1.2255195182914094
148.5;37.5;-1.2523387477892367
